id_siniestro,id_poliza,id_asegurado,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada,created_at,updated_at,ramo_poliza,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad_poliza,estado_poliza,segmento,antiguedad_meses,ciudad_asegurado,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado,id_vehiculo,placa,chasis,motor,marca,modelo,anio,tipo_proveedor,ciudad_proveedor,reclamos_asociados,monto_promedio_reclamado,porcentaje_casos_observados,antiguedad_meses_proveedor,docs_inconsistentes,docs_faltantes,docs_observaciones,freq_asegurado_18m,freq_vehiculo_18m,freq_conductor_18m,is_rc_only,rc_prev_vehiculo_18m,ids_siniestros_similares_top5,max_similitud_textual,score_reclamo_vigencia,score_demora_robo,score_freq_asegurado,score_freq_vehiculo,score_freq_conductor,score_rc_only,score_proveedor,score_docs_incompletos,score_docs_inconsistentes,score_dinamica_sospechosa,score_sin_tercero,score_reporte_tardio,score_monto_suma_asegurada,score_narrativas_similares,score_total_reglas,semaforo_score,alertas_score_activadas,ids_siniestros_similares_top5_json,RF_01_perdida_total_robo,RF_02_adulteracion_doc,RF_03_lista_restrictiva,RF_04_dinamica_imposible,RF_05_borde_vigencia_48h,RF_06_demora_robo_4dias,RF_07_narrativa_clonada,RF_08_score_reglas_alto,RF_09_score_alto_y_ml_riesgo,RF_10_documental_multiple,RF_11_proveedor_recurrente_monto_atipico,RF_12_alta_frecuencia_y_borde_vigencia,semaforo_reglas_criticas,reglas_criticas_activadas,reglas_criticas_activadas_json
1,1,50,28.0,OTRO,Cobertura especial,2026-05-11,2026-05-27,4830.07,4173.47,0.0,CIERRE_SIN_CONSECUENCIA,Sucursal Manta,Siniestro simulado de ramo otro por cobertura asistencia reportado en Guayaquil.,True,CLINICA,348,-17,16,0,0,2026-05-15 09:47:00,2026-05-18 12:08:00,OTRO,2025-05-28,2026-05-28,545.92,21580.97,455.25,AGENTE,Guayaquil,ACTIVA,MASIVO,54,Guayaquil,3,2,297.97,656.4,,,,,,,,CLINICA,Cuenca,3.0,11552.11,33.33,37.0,True,False,Documento validado sin novedades.,1,0,1,False,0,"[43, 73, 14, 37, 4]",0.6181178546953514,4,0,0,0,0,0,5,0,10,0,0,5,0,0,24,Verde,"['Siniestro cercano al inicio o fin de vigencia de la poliza', 'Beneficiario o proveedor recurrente u observado', 'Documentos ilegibles, inconsistentes o con fechas no concordantes', 'Reporte tardio del siniestro frente a la fecha de ocurrencia']","[43, 73, 14, 37, 4]",False,False,False,False,False,False,False,False,False,False,False,False,Verde,[],[]
2,2,8,11.0,HOGAR,Responsabilidad familiar,2025-09-17,2025-09-27,2482.29,1985.12,1540.39,PAGO_TOTAL,Matriz Guayaquil,Siniestro simulado de ramo hogar por cobertura daños por agua reportado en Ambato.,True,PERITO,303,-427,10,0,0,2026-05-16 10:54:00,2026-05-19 13:15:00,HOGAR,2024-11-18,2026-11-18,519.15,31712.15,444.73,WEB,Ambato,ACTIVA,MASIVO,34,Daule,1,1,0.0,852.0,,,,,,,,PERITO,Ambato,5.0,18791.9,40.0,133.0,False,False,Documento validado sin novedades.,0,0,0,True,0,"[82, 3, 71, 17, 11]",0.4070610395752603,0,0,0,0,0,0,10,0,0,0,0,5,0,0,15,Verde,"['Beneficiario o proveedor recurrente u observado', 'Reporte tardio del siniestro frente a la fecha de ocurrencia']","[82, 3, 71, 17, 11]",False,False,True,False,False,False,False,False,False,False,False,False,Rojo,['RF_03_lista_restrictiva'],"[""RF_03_lista_restrictiva""]"
3,3,56,15.0,HOGAR,Robo domiciliario,2023-11-23,2023-12-09,39825.18,39104.68,38351.48,PAGO_TOTAL,Sucursal Manta,Siniestro simulado de ramo hogar por cobertura responsabilidad familiar reportado en Ambato.,False,PERITO,275,-90,16,0,0,2026-05-17 11:01:00,2026-05-20 14:22:00,HOGAR,2023-02-21,2024-02-21,1551.26,82847.76,753.2,AGENTE,Ambato,VENCIDA,PYME,33,Ambato,4,2,1167.72,717.36,,,,,,,,PERITO,Guayaquil,4.0,18968.45,25.0,79.0,True,True,Documento pendiente de entrega. | Documento validado sin novedades.,1,0,1,False,0,"[33, 60, 70, 54, 82]",0.852134354578005,0,8,0,0,0,0,5,4,10,0,0,5,4,8,44,Amarillo,"['Demora relevante entre ocurrencia y denuncia en cobertura de robo', 'Beneficiario o proveedor recurrente u observado', 'Documentacion requerida incompleta', 'Documentos ilegibles, inconsistentes o con fechas no concordantes', 'Reporte tardio del siniestro frente a la fecha de ocurrencia', 'Monto reclamado cercano a la suma asegurada o superior al promedio esperado', 'Narrativa similar a otros siniestros reportados']","[33, 60, 70, 54, 82]",False,False,False,False,False,True,True,False,False,True,True,False,Rojo,"['RF_06_demora_robo_4dias', 'RF_07_narrativa_clonada', 'RF_10_documental_multiple', 'RF_11_proveedor_recurrente_monto_atipico']","[""RF_06_demora_robo_4dias"", ""RF_07_narrativa_clonada"", ""RF_10_documental_multiple"", ""RF_11_proveedor_recurrente_monto_atipico""]"
4,4,13,4.0,SALUD,Hospitalización,2024-01-20,2024-01-22,27810.18,24813.58,0.0,NEGATIVA,Sucursal Cuenca,Siniestro simulado de ramo salud por cobertura consulta especializada reportado en Guayaquil.,True,TALLER,189,-176,2,0,0,2026-05-18 12:08:00,2026-05-21 15:29:00,SALUD,2023-07-15,2024-07-14,2146.99,55004.66,2181.3,BROKER,Guayaquil,VENCIDA,CORPORATIVO,176,Cuenca,2,1,0.0,608.57,,,,,,,,TALLER,Santo Domingo,3.0,24763.94,8.17,168.0,False,False,Documento validado sin novedades.,0,0,0,False,0,"[74, 45, 97, 64, 56]",0.8193914425567194,0,0,0,0,0,0,5,0,0,0,0,0,4,4,13,Verde,"['Beneficiario o proveedor recurrente u observado', 'Monto reclamado cercano a la suma asegurada o superior al promedio esperado', 'Narrativa similar a otros siniestros reportados']","[74, 45, 97, 64, 56]",False,False,False,False,False,False,False,False,False,False,False,False,Verde,[],[]
5,5,56,26.0,VIDA,Enfermedad grave,2023-09-24,2023-10-05,4730.35,4924.49,381.04,ANTICIPO,Sucursal Cuenca,Siniestro simulado de ramo vida por cobertura gastos funerarios reportado en Ambato.,True,CLINICA,134,-46,11,1,0,2026-05-19 13:15:00,2026-05-22 16:36:00,VIDA,2023-05-13,2023-11-09,3453.28,87744.63,6135.72,OFICINA,Ambato,VENCIDA,PYME,33,Ambato,4,2,1167.72,717.36,,,,,,,,CLINICA,Loja,2.0,4497.92,16.79,162.0,False,False,Documento validado sin novedades.,0,0,0,False,0,"[13, 88, 58, 35, 66]",0.8590448760655719,0,0,0,0,0,0,0,0,0,0,0,5,0,8,13,Verde,"['Reporte tardio del siniestro frente a la fecha de ocurrencia', 'Narrativa similar a otros siniestros reportados']","[13, 88, 58, 35, 66]",False,False,False,False,False,False,True,False,False,False,False,False,Amarillo,['RF_07_narrativa_clonada'],"[""RF_07_narrativa_clonada""]"
6,6,7,21.0,GENERALES,Riesgos nombrados,2025-03-16,2025-04-10,89827.69,81698.37,0.0,NEGATIVA,Sucursal Cuenca,Siniestro simulado de ramo generales por cobertura equipo electrónico reportado en Quito. Caso marcado como observado para entrenamiento por patrones atipicos simulados.,False,ASEGURADO,158,-22,25,0,1,2026-05-20 14:22:00,2026-05-23 17:43:00,GENERALES,2024-10-09,2025-04-07,2738.17,90481.03,3398.76,AGENTE,Quito,VENCIDA,INDIVIDUAL,22,Quito,3,1,0.0,647.34,,,,,,,,BENEFICIARIO,Daule,3.0,38119.61,33.33,89.0,True,False,Dato observado para validacion manual. | Documento validado sin novedades.,1,0,1,False,0,"[48, 16, 19, 77, 30]",0.5794650368884928,4,0,0,0,0,0,5,4,10,6,0,5,5,0,39,Verde,"['Siniestro cercano al inicio o fin de vigencia de la poliza', 'Beneficiario o proveedor recurrente u observado', 'Documentacion requerida incompleta', 'Documentos ilegibles, inconsistentes o con fechas no concordantes', 'Narrativa o dinamica del accidente requiere revision minuciosa', 'Reporte tardio del siniestro frente a la fecha de ocurrencia', 'Monto reclamado cercano a la suma asegurada o superior al promedio esperado']","[48, 16, 19, 77, 30]",False,False,False,False,False,False,False,False,False,False,False,False,Verde,[],[]
7,7,25,30.0,GENERALES,Riesgos nombrados,2025-03-27,2025-04-24,15389.92,14145.42,0.0,RESERVA,Sucursal Quito,Siniestro simulado de ramo generales por cobertura riesgos nombrados reportado en Quito.,False,PROVEEDOR,452,-278,28,0,0,2026-05-21 15:29:00,2026-05-24 08:50:00,GENERALES,2023-12-31,2025-12-30,3184.12,50472.87,2457.94,CALL_CENTER,Quito,VENCIDA,INDIVIDUAL,24,Quito,2,0,0.0,437.17,,,,,,,,PROVEEDOR,Quito,1.0,15389.92,19.7,26.0,True,False,Documento validado sin novedades. | Dato observado para validacion manual.,1,0,1,False,0,"[44, 53, 86, 67, 76]",0.8783468834681083,0,0,0,0,0,0,0,4,10,0,0,5,0,8,27,Verde,"['Documentacion requerida incompleta', 'Documentos ilegibles, inconsistentes o con fechas no concordantes', 'Reporte tardio del siniestro frente a la fecha de ocurrencia', 'Narrativa similar a otros siniestros reportados']","[44, 53, 86, 67, 76]",False,False,False,False,False,False,True,False,False,False,False,False,Amarillo,['RF_07_narrativa_clonada'],"[""RF_07_narrativa_clonada""]"
8,8,26,26.0,SALUD,Hospitalización,2024-04-23,2024-05-23,4265.48,3637.66,0.0,RESERVA,Sucursal Machala,Siniestro simulado de ramo salud por cobertura consulta especializada reportado en Manta.,True,CLINICA,187,-178,30,0,0,2026-05-22 16:36:00,2026-05-25 09:57:00,SALUD,2023-10-19,2024-10-18,565.85,11254.8,501.27,CALL_CENTER,Manta,VENCIDA,VIP,164,Guayaquil,1,0,0.0,568.21,,,,,,,,CLINICA,Loja,2.0,4497.92,16.79,162.0,False,False,Documento validado sin novedades.,0,0,0,False,0,"[74, 45, 4, 97, 64]",0.8078929280654014,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,Verde,"['Reporte tardio del siniestro frente a la fecha de ocurrencia', 'Narrativa similar a otros siniestros reportados']","[74, 45, 4, 97, 64]",False,False,False,False,False,False,False,False,False,False,False,False,Verde,[],[]
9,9,49,25.0,VEHICULOS,Choque parcial,2023-09-06,2023-09-07,22184.07,17699.13,0.0,RESERVA,Sucursal Machala,Siniestro simulado de ramo vehiculos por cobertura pérdida parcial reportado en Santo Domingo. Caso marcado como observado para entrenamiento por patrones atipicos simulados.,False,CLINICA,127,-238,1,0,1,2026-05-23 17:43:00,2026-05-26 10:04:00,VEHICULOS,2023-05-02,2024-05-01,629.32,21628.22,1676.93,BANCA_SEGUROS,Santo Domingo,VENCIDA,MASIVO,107,Ambato,4,2,545.21,500.41,1.0,PBA-1117,Y0XUU7XAJUB1HP1L5,MTR9EQRGU8EY,NISSAN,FRONTIER,2014.0,CLINICA,Ambato,1.0,22184.07,100.0,153.0,True,True,Documento validado sin novedades. | Dato observado para validacion manual. | Documento pendiente de entrega.,0,0,0,False,0,"[51, 48, 30, 72, 63]",0.8357671416430619,0,0,0,0,0,0,10,4,10,6,0,0,5,4,39,Verde,"['Beneficiario o proveedor recurrente u observado', 'Documentacion requerida incompleta', 'Documentos ilegibles, inconsistentes o con fechas no concordantes', 'Narrativa o dinamica del accidente requiere revision minuciosa', 'Monto reclamado cercano a la suma asegurada o superior al promedio esperado', 'Narrativa similar a otros siniestros reportados']","[51, 48, 30, 72, 63]",False,False,True,False,False,False,False,False,False,False,False,False,Rojo,['RF_03_lista_restrictiva'],"[""RF_03_lista_restrictiva""]"
10,10,20,,SALUD,Cirugía ambulatoria,2024-09-20,2024-09-29,12362.38,9599.32,0.0,CIERRE_SIN_CONSECUENCIA,Sucursal Manta,Siniestro simulado de ramo salud por cobertura hospitalización reportado en Portoviejo.,False,ASEGURADO,182,-548,9,0,0,2026-05-24 08:50:00,2026-05-27 11:11:00,SALUD,2024-03-22,2026-03-22,2956.91,43266.77,2233.87,WEB,Portoviejo,VENCIDA,VIP,102,Portoviejo,1,0,0.0,627.19,,,,,,,,,,,,,,True,False,Dato observado para validacion manual. | Documento validado sin novedades.,0,0,0,False,0,"[90, 59, 36, 26, 93]",1.0,0,0,0,0,0,0,0,4,10,0,0,5,0,8,27,Verde,"['Documentacion requerida incompleta', 'Documentos ilegibles, inconsistentes o con fechas no concordantes', 'Reporte tardio del siniestro frente a la fecha de ocurrencia', 'Narrativa similar a otros siniestros reportados']","[90, 59, 36, 26, 93]",False,False,False,False,False,False,True,False,False,False,False,False,Amarillo,['RF_07_narrativa_clonada'],"[""RF_07_narrativa_clonada""]"
